BUB1 DNMT1 label
E5.2.41 313 76 E5
E5.16.1890 1787 454 E5
E5.13.1752 57 15 E5
E5.early.36.3223 447 161 E5
E3.47.3395 72 12262 E3
E3.51.3426 578 19780 E3
E5.13.1760 325 124 E5
E5.40.3284 695 179 E5
E3.3.460 624 73497 E3
E3.1.447 74 17948 E3
E5.9.928 1074 706 E5
E5.10.936 108 66 E5
E5.6.379 740 297 E5
E5.11.952 231 194 E5
E5.early.31.3062 261 104 E5
E5.early.31.3058 198 366 E5
E3.1.445 215 21276 E3
E5.early.36.3228 4 0 E5
E5.14.1924 769 164 E5
E5.5.98 2940 228 E5
E5.11.953 374 109 E5
E5.early.31.3059 137 111 E5
E5.40.3283 472 267 E5
E5.41.3326 2069 996 E5
E5.early.36.3221 992 134 E5
E5.early.31.3064 442 260 E5
E5.16.1887 540 34 E5
E5.43.3363 138 383 E5
E3.4.462 1119 78389 E3
E3.1.444 84 8358 E3
E5.13.1754 89 40 E5
E5.14.1802 6 112 E5
E5.7.696 372 247 E5
E5.11.956 171 59 E5
E3.3.459 249 22507 E3
E5.3.58 1544 302 E5
E5.10.948 345 133 E5
E5.7.693 1315 317 E5
E3.48.3400 668 5386 E3
E5.5.94 4863 137 E5
E5.12.1028 3 12 E5
E5.15.1838 819 34 E5
E5.13.1765 130 171 E5
E5.early.36.3227 839 149 E5
E5.16.1909 883 515 E5
E5.8.920 603 88 E5
E5.13.1773 801 302 E5
E3.46.3386 467 3716 E3
E3.3.458 274 23380 E3
E5.14.1813 586 242 E5
E5.42.3331 562 1 E5
E5.3.59 4712 241 E5
E5.11.962 47 42 E5
E3.2.454 699 41441 E3
E5.10.942 83 20 E5
E3.50.3415 301 5160 E3
E5.42.3337 217 0 E5
E5.40.3291 405 83 E5
E5.early.36.3218 1093 731 E5
E5.7.692 908 250 E5
E5.10.938 21 5 E5
E5.7.695 489 216 E5
E5.13.1777 487 73 E5
E5.7.705 169 97 E5
E3.47.3389 709 7981 E3
E5.12.1038 90 73 E5
E5.14.1919 257 35 E5
E5.37.3245 888 522 E5
E5.41.3325 368 113 E5
E5.16.1903 2323 437 E5
E5.12.1035 426 90 E5
E5.16.1894 598 223 E5
E5.15.1830 36 3 E5
E5.5.95 17481 520 E5
E5.3.57 1781 285 E5
E5.15.1840 575 19 E5
E5.14.1797 236 91 E5
E5.41.3307 278 129 E5
E3.46.3387 113 2542 E3
E5.3.52 1101 463 E5
E5.6.372 1271 343 E5
E5.40.3286 1849 273 E5
E5.14.1916 475 210 E5
E5.9.929 16 1 E5
E3.48.3396 196 16990 E3
E5.7.675 127 17 E5
E5.13.1763 914 527 E5
E5.15.1831 827 63 E5
E5.7.682 975 235 E5
E5.13.1771 1152 288 E5
E5.37.3234 156 231 E5
E3.1.443 201 19670 E3
E5.2.42 1789 734 E5
E5.5.91 3096 160 E5
E3.3.457 313 25470 E3
E5.12.1027 117 136 E5
E5.43.3361 389 472 E5
E5.6.365 1159 1684 E5
E5.6.375 1012 795 E5
E5.10.950 13 115 E5
E5.7.681 869 193 E5
E5.6.361 1771 311 E5
E5.11.961 119 130 E5
E3.50.3413 112 1537 E3
E5.2.46 1402 846 E5
E5.2.47 2406 797 E5
E5.39.3266 0 36 E5
E5.9.923 1345 452 E5
E5.14.1785 1 2 E5
E5.3.60 20328 1145 E5
E5.11.964 207 318 E5
E3.2.452 476 55716 E3
E3.2.467 1770 43271 E3
E5.7.679 561 130 E5
E3.51.3425 10 542 E3
E3.52.3434 592 15811 E3
E5.43.3358 328 503 E5
E5.14.1917 2 2 E5
E5.39.3267 300 1577 E5
E3.47.3391 472 2782 E3
E5.11.966 51 119 E5
E5.14.1783 569 192 E5
E5.7.701 167 23 E5
E5.38.3256 64 50 E5
E5.10.943 104 142 E5
E5.6.362 519 230 E5
E5.15.1829 637 88 E5
E5.13.1764 369 171 E5
E3.49.3407 599 4320 E3
E5.6.373 735 118 E5
E3.50.3417 373 4167 E3
E5.15.1828 499 123 E5
E5.14.1793 519 200 E5
E5.9.927 587 185 E5
E5.14.1786 174 66 E5
E5.13.1781 97 71 E5
E5.1.28 753 107 E5
E5.40.3302 590 356 E5
E5.42.3333 337 273 E5
E5.7.684 324 148 E5
E5.40.3304 426 1011 E5
E5.10.933 69 31 E5
E3.45.3378 558 10413 E3
E5.16.1891 4235 367 E5
E5.10.935 48 21 E5
E5.8.918 51 20 E5
E5.41.3328 321 397 E5
E3.50.3412 414 6203 E3
E5.11.965 201 237 E5
E3.45.3379 52 5333 E3
E5.16.1893 16 26 E5
E5.15.1841 279 51 E5
E5.13.1755 784 409 E5
E5.16.1886 45 1411 E5
E5.43.3360 25 345 E5
E5.37.3242 177 187 E5
E3.46.3388 270 3434 E3
E5.14.1918 689 351 E5
E5.37.3243 85 65 E5
E5.3.49 1789 212 E5
E5.early.36.3226 702 240 E5
E3.4.463 757 81365 E3
E5.15.1824 37 68 E5
E5.16.1913 783 168 E5
E5.42.3334 2458 288 E5
E5.12.1034 824 87 E5
E5.16.1907 439 244 E5
E5.42.3340 544 334 E5
E5.15.1845 519 269 E5
E5.7.677 432 170 E5
E5.13.1758 14 6 E5
E3.45.3374 642 12544 E3
E5.15.1835 1715 241 E5
E5.14.1792 160 155 E5
E5.43.3364 339 355 E5
